Island,Site,Species,Sample,MeanIndivOverlap,PSi,CollectionDate,CollSeason,Wt_g,TL_cm,M.F,Richness,Diversity(Simp)
Kauai,SaltPond,Acanthurus triostegus,ACTR595,0.272,0.442,6/2/17,Summer2017,35.05,11.5,unknown,30,0.7495616
Kauai,SaltPond,Acanthurus triostegus,ACTR606,0.36,0.574,6/2/17,Summer2017,83.97,15.1,F,27,0.8117356
Kauai,SaltPond,Acanthurus triostegus,ACTR610,0.272,0.475,6/2/17,Summer2017,64.53,14,M,29,0.8475686
Kauai,SaltPond,Acanthurus triostegus,ACTR611,0.323,0.492,6/2/17,Summer2017,42.13,12,unknown,32,0.792394
Kauai,SaltPond,Acanthurus triostegus,ACTR612,0.398,0.613,6/2/17,Summer2017,31.1,10.5,unknown,32,0.8268595
Maui,Olowalu,Acanthurus nigrofuscus,ACNF116,0.592,0.738,4/13/17,Spring2017,42.12,14.6,M,29,0.8503479
Maui,Olowalu,Acanthurus nigrofuscus,ACNF117,0.424,0.587,4/13/17,Spring2017,52.13,15.2,M,36,0.8466829
Maui,Olowalu,Acanthurus nigrofuscus,ACNF118,0.545,0.737,4/13/17,Spring2017,52.91,15.1,M,37,0.9019893
Maui,Olowalu,Acanthurus nigrofuscus,ACNF119,0.56,0.706,4/13/17,Spring2017,45.19,14.5,F,41,0.8784894
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL003,0.677,0.775,4/15/17,Spring2017,148.4,17.9,M,45,0.8227551
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL005,0.584,0.67,4/15/17,Spring2017,150.8,19.8,M,44,0.8299291
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL006,0.613,0.696,4/15/17,Spring2017,132.5,17.3,F,42,0.8209363
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL007,0.638,0.765,4/15/17,Spring2017,107,16,F,43,0.8847405
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL008,0.683,0.804,4/15/17,Spring2017,151.2,19,unknown,38,0.8463952
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL009,0.686,0.797,4/15/17,Spring2017,165.4,19.8,M,43,0.8421291
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL010,0.676,0.772,4/15/17,Spring2017,70.5,14,F,41,0.8067384
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL012,0.601,0.675,4/15/17,Spring2017,176.4,19.3,M,47,0.8559811
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL013,0.611,0.683,4/15/17,Spring2017,96.8,15.9,F,39,0.7629967
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL014,0.657,0.762,4/15/17,Spring2017,112.4,16.5,M,49,0.8570966
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL016,0.652,0.783,4/15/17,Spring2017,125.3,17.5,F,51,0.8687814
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL017,0.524,0.582,4/15/17,Spring2017,138.5,17.8,F,44,0.8660682
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL019,0.651,0.759,4/15/17,Spring2017,163.3,18.8,M,43,0.8573061
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL020,0.633,0.742,4/15/17,Spring2017,76.1,14.2,F,44,0.8504877
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL021,0.684,0.825,4/15/17,Spring2017,169.7,19.7,M,39,0.8794964
Maui,S.ShoreViewpoint,Zebrasoma flavescens,ZEFL022,0.522,0.597,4/15/17,Spring2017,127.9,17,F,50,0.8948559
Maui,Waihee,Acanthurus triostegus,ACTR105,0.502,0.673,4/14/17,Spring2017,122.522,17.2,F,33,0.8306955
Maui,Waihee,Acanthurus triostegus,ACTR107,0.688,0.823,4/14/17,Spring2017,67.41,13.6,M,35,0.6263124
Maui,Waihee,Acanthurus triostegus,ACTR110,0.682,0.798,4/14/17,Spring2017,75.549,14,M,31,0.5867071
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF075,0.452,0.558,11/13/16,Fall2016,55.98,15.5,unknown,45,0.846386
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF076,0.508,0.591,11/13/16,Fall2016,59.87,15.4,M,37,0.6299218
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF077,0.608,0.812,11/13/16,Fall2016,51.78,14.6,unknown,31,0.8618357
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF078,0.617,0.782,11/13/16,Fall2016,53.09,15.4,M,47,0.8401024
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF079,0.615,0.793,11/13/16,Fall2016,58.61,16,M,52,0.8435809
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF080,0.533,0.66,11/13/16,Fall2016,63.62,16,unknown,51,0.8843864
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF081,0.55,0.664,11/13/16,Fall2016,60.79,15.4,M,45,0.8008917
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF083,0.492,0.627,11/13/16,Fall2016,54.7,14.8,unknown,51,0.8770837
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF084,0.564,0.694,11/13/16,Fall2016,70.67,16,M,47,0.8211431
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF085,0.571,0.67,11/13/16,Fall2016,58.13,15.2,unknown,52,0.8098905
Oahu,AlaMoana,Acanthurus nigrofuscus,ACNF086,0.482,0.566,11/13/16,Fall2016,52.04,14.5,unknown,38,0.6964819
