taxon,ACGU001B,ACGU002A,ACLE001B,ACLE002C,ACLE003A,ACLE007A,ACLE010A,ACLE011,ACLE012,ACLE013,ACLE014,ACLE015,ACLE016,ACLE017,ACLE018A,ACNF018C,ACNF023,ACNF024,ACNF025,ACNF026,ACNF027B,ACNF029A,ACNF032,ACNF033,ACNF034,ACNF035A,ACNF037,ACNF038B,ACNF040,ACNF041,ACNF042,ACNF043,ACNF044,ACNF045,ACNF046,ACNF048,ACNF050,ACNF051B,ACNF053,ACNF054,ACNF055,ACNF056,ACNF057,ACNF059,ACNF060,ACNF061,ACNF062,ACNF063,ACNF065,ACNF066,ACNF067,ACNF068,ACNF069,ACNF071,ACNF073,ACNF074,ACNF075,ACNF076,ACNF077,ACNF078,ACNF079,ACNF080,ACNF081,ACNF083,ACNF084,ACNF085,ACNF086,ACNF087,ACNF088,ACNF089,ACNF090,ACNF091,ACNF092,ACNF093,ACNF094,ACNF095,ACNF096,ACNF097,ACNF099,ACNF116,ACNF117,ACNF118,ACNF119,ACNF120,ACNF121,ACNF122,ACNF123,ACNF124,ACNI001,ACNI002,ACNI004,ACNI005B,ACNI006,ACOL001,ACTR010,ACTR011,ACTR014,ACTR015,ACTR025A,ACTR029B,ACTR032B,ACTR034A,ACTR037C,ACTR039C,ACTR040C,ACTR043B,ACTR045B,ACTR048A,ACTR050A,ACTR053B,ACTR056A,ACTR059A,ACTR062,ACTR063,ACTR064,ACTR065,ACTR066,ACTR067,ACTR068,ACTR069,ACTR070,ACTR071,ACTR072,ACTR073,ACTR074,ACTR076,ACTR077,ACTR078,ACTR079,ACTR080,ACTR081,ACTR082,ACTR083B,ACTR084,ACTR085,ACTR086,ACTR087B,ACTR091,ACTR092,ACTR094,ACTR095,ACTR096,ACTR097,ACTR098,ACTR099,ACTR101,ACTR102,ACTR105A,ACTR107,ACTR110,ACTR116,ACTR117,ACTR118,ACTR119,ACTR120,ACTR121,ACTR122,ACTR123,ACTR124,ACTR125,ACTR127,ACTR128,ACTR129,ACTR130,ACTR131,ACTR132,ACTR133A,ACTR135,ACTR136,ACTR137,ACTR138,ACTR139,ACTR140,ACTR141,ACTR142,ACTR143,ACTR144,ACTR145,ACTR146,ACTR595,ACTR606,ACTR610,ACTR611,ACTR612,CTST010,CTST012,CTST014,CTST016,NALI001B,NALI002B,NALI003B,NALI004C,NALI005B,NALI006C,NAUN001D,ZEFL003,ZEFL005,ZEFL006,ZEFL007,ZEFL008,ZEFL009,ZEFL010,ZEFL012,ZEFL013,ZEFL014,ZEFL016,ZEFL017,ZEFL019,ZEFL020,ZEFL021,ZEFL022B,ZEFL026,ZEFL027,ZEFL028A,ZEFL029B
Ceramium sp. ,0,54,65,0,121,0,0,0,40,0,0,404,173,8,0,114,0,57,0,0,0,123,0,4,313,280,226,328,247,0,0,362,98,216,64,0,4,69,336,0,0,0,0,166,327,0,431,238,23,66,0,0,23,435,48,57,0,0,0,0,0,1,0,415,0,18,336,0,0,0,0,0,0,0,3,0,0,0,124,0,0,2,0,5,59,11,16,30,11,0,0,0,0,0,65,58,14,127,239,244,423,154,55,197,66,108,298,288,248,523,225,287,84,66,162,16,51,0,27,0,0,3,54,0,0,6,0,0,126,4,103,33,77,236,151,29,6,33,105,82,37,24,0,4,611,40,81,921,0,49,8,65,35,106,863,24,146,75,287,147,57,321,194,192,106,80,431,66,16,9,698,8,0,222,0,71,148,80,83,0,0,281,5,116,0,7,249,0,94,0,0,68,0,0,159,377,67,0,191,89,580,0,635,0,97,19,11,16,61,80,2,54,196,34,0
Anotrichium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coelothrix irregularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,18,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titanophycus validus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaeophyceae,25,0,300,0,49,741,0,0,112,34,143,288,414,92,152,263,737,406,567,168,416,21,75,0,22,23,101,68,41,84,311,43,44,101,176,228,74,716,308,477,343,277,282,20,150,160,48,38,8,70,1878,989,923,23,383,6,302,287,987,299,329,240,167,68,156,178,57,431,304,387,713,124,909,1136,319,263,1086,140,429,1839,223,1013,1675,9,123,0,7,5,125,45,251,21,1013,37,10,76,8,4,57,106,45,200,6,178,40,132,54,3,31,31,103,67,66,0,19,1,349,0,13,136,53,468,106,66,22,293,471,0,28,468,44,3,136,1,4,0,244,60,3,0,0,10,2,1,0,1,6,0,0,0,25,0,169,70,4,87,0,10,34,20,24,41,19,130,12,116,7,144,49,54,5,34,20,114,10,1088,184,239,234,1033,37,0,164,36,364,2,355,82,86,30,0,50,239,66,0,3,0,0,24,17,25,122,6,0,50,72,0,13,17,0,7,0,0,18,30
Sphacelaria tribuloides,515,9,190,320,8,6938,123,86,1422,1075,1866,93,579,93,711,55,1152,440,1460,221,2006,21,69,89,425,194,172,108,253,259,489,235,35,215,244,399,139,1388,286,1002,1293,594,580,106,49,226,43,31,46,57,3934,2732,3580,14,1248,129,1649,435,662,58,210,102,54,122,271,69,19,984,141,1442,1260,236,385,5297,448,406,431,102,224,2856,547,789,2589,16,93,38,0,0,66,2427,1244,2998,816,2054,118,33,55,13,89,118,53,85,28,144,193,631,110,43,30,186,193,241,7,0,7,1,1458,8,55,766,208,1578,225,50,151,381,529,5310,115,535,11,0,149,2,0,3,275,4,0,0,0,0,0,0,4,1,0,0,0,6,45,7,327,34,1,78,5,14,58,63,47,127,46,222,46,262,0,72,59,29,12,13,21,40,4,827,48,163,121,2064,111,9,2544,569,647,168,403,283,56,391,181,0,2326,70,0,0,6,4,19,43,12,67,11,5,34,80,7,29,11,11,41,35,11,37,20
Chondracanthus acicularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,216,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Amphiroa foliacea,0,0,0,0,57,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostocales,8,3,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,16,0,40,99,0,12,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,3,0,3,1,0,12,0,0,6,6,15,0,12,0,0,3,0,6,2,1,11,0,47,0,6,10,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,136,3,0,0,0,48,23,4,26,23,50,0,0,3,0,0,0,0
Gigartinales,0,101,26,0,17,4,0,34,77,0,0,12,1,67,0,33,52,19,72,62,21,0,0,0,0,10,7,22,0,6,0,0,34,0,11,28,5,12,6,35,48,5,0,23,15,21,1,2,1,31,0,9,0,0,10,11,66,18,60,24,55,54,17,5,7,30,12,15,5,0,82,32,84,0,28,142,144,61,12,16,25,47,224,33,0,94,3,8,3,0,0,0,0,0,0,4,0,0,5,20,15,9,0,26,1,8,5,4,16,0,39,0,0,0,40,4,2,4,0,20,2,15,6,0,0,6,45,0,0,23,7,0,0,4,4,4,30,0,0,0,0,4,0,0,2,0,5,0,0,0,4,0,3,2,0,3,0,0,19,14,10,1,3,9,0,0,0,0,3,5,0,1,5,0,0,21,27,2,5,3,0,12,0,0,0,23,12,546,0,251,0,20,56,0,0,11,14,28,24,0,9,4,17,5,100,30,14,12,33,103,55,25,2,78,22
Cylindrotheca closterium,6,0,0,0,0,0,20,0,0,0,0,0,0,0,28,7,0,0,0,0,0,10,0,0,2,0,0,1,0,1,2,0,0,6,0,0,8,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
