taxon,rank,kingdom,phylum,class,order,family,genus,species,1.29.17.NEG_9.6.19,1.4.2018.NEG_9.6.19,1.5.18.NEG_9.6.19,1.5.18.NEG-1_8.19,1.5.18.NEG.2_8.19,1.5.18.NEG.dup1_9.6.19,11.30.17.NEG_8.19,5.2.18.NEG_9.6.19,5.7.18.NEG_9.6.19,5.16.17.NEG_9.6.19,EXTRACT.NEG_S200_9.6.19,INDEX.NEG.1_S216_8.19,INDEX.NEG.2_S220_8.19,NEG_11.17,1.7.18.NEG_8.19,1-4-2018-NEG_9.6.19,1-29-19-NEG_8.19,1-4-17-NEG_9.6.19,1-5-18-NEG-dup2_9.6.19,1-7-18-NEG-2_8.19,12-5-17-NEG_8.19,ACTR591_8.19,ACTR589_9.6.19,ACLE017_8.19,ACGU001A_9.6.19,ACGU002A_9.6.19,ACGU002A_9.6.19,ACTR080_8.19,ACNI003_9.6.19,ACTR590_9.6.19,ACTR076_9.6.19,ACTR078_9.6.19,ACLE012_9.6.19,ACLE013_9.6.19,ACTR077_9.6.19,ZEFL028B_9.6.19,ZEFL029B_9.6.19,ACNF017_9.6.19,ACNF018_9.6.19_dupACNF019_20,ACNF019_9.6.19_dupACNF018_20,ACNF020_9.6.19_dupACNF018_19,ACNF021_9.6.19,ACNF023_9.6.19,ACNF024_9.6.19,ACNF025_9.6.19,ACNF026_8.19,ACNF027_9.6.19_dupACNF028,ACNF028_8.19_dupACNF027,ACNF029_9.6.19_dupACNF030_31,ACNF030_9.6.19_dupACNF029_31,ACNF031_9.6.19_dupACNF029_30,ACNF032_9.6.19,ACNF033_9.6.19,ACNF034_8.19,ACNF035_9.6.19_dupACNF036,ACNF036_9.6.19_dupACNF035,ACNF037_9.6.19,ACNF038_9.6.19_dupACNF039,ACNF039_9.6.19_dupACNF038,ACNF041_9.6.19,ACNF042_9.6.19,ACNF043_8.19,ACNF044_8.19,ACNF045_9.6.19,ACNF046_8.19,ACNF047_9.6.19,ACNF048_9.6.19,ACNF049_9.6.19,ACNF050_9.6.19,ACNF051_9.6.19_dupACNF052,ACNF052_8.19_dupACNF051,ACNF053_8.19,ACNF054_9.6.19,ACNF055_8.19,ACNF055_9.6.19,ACNF055-dup_8.19,ACNF055-dup_9.6.19,ACNF056_8.19,ACNF057_9.6.19,ACNF058_9.6.19,ACNF059_9.6.19,ACNF060_8.19,ACNF061-1_9.6.19,ACNF061-2_9.6.19,ACNF062_9.6.19,ACNF063_8.19,ACNF065_9.6.19,ACNF066_8.19,ACNF067_9.6.19,ACNF068_9.6.19,ACNF081_9.6.19,ACNF081-dup_8.19,ACNF081-dup_9.6.19,ACNF082_9.6.19,ACNF083-1_9.6.19,ACNF083-2_9.6.19,ACNF084-1_9.6.19,ACNF084-2_9.6.19,ACNF085-1_9.6.19,ACNF085-2_9.6.19,ACNF086-1_9.6.19,ACNF086-2_9.6.19,ACNF087-1_9.6.19,ACNF087-2_9.6.19,ACNF088_9.6.19,ACNF088-dup_8.19,ACNF088-dup_9.6.19,ACNF089_9.6.19,ACNF090-1_9.6.19,ACNF090-2_9.6.19,ACNF099-1_9.6.19,ACNF099-2_9.6.19,ACNF116_9.6.19,ACNF117_9.6.19,ACNF118_9.6.19,ACNF119_9.6.19,ACLE014_9.6.19,ACLE011_9.6.19,ZEFL004_9.6.19,ZEFL028A_9.6.19,ACNF125_9.6.19,ACNI001-1_9.6.19,ACNI001-2_9.6.19,NALI004B_9.6.19,NALI004C_9.6.19,ACNI004_S120_9.6.19,ACNI005A_S84_9.6.19,ACNI005B_S64_9.6.19,ACNI006_S201_8.19,ACOL001_S203_8.19,ACTR010_S43_9.6.19,ACTR011_S75_9.6.19,ACTR014_S78_9.6.19,ACTR015_S68_9.6.19,ACTR025A_S180_8.19,ACTR029_S184_9.6.19_dupACTR030_31,ACTR030_S146_9.6.19_dupACTR029_31,ACTR030.dup_S147_9.6.19_dupACTR029_31,ACTR030.dup_S212_8.19_dupACTR029_31,ACTR031-1_S66_9.6.19_dupACTR029_30,ACTR031-2_S137_9.6.19_dupACTR029_30,ACTR031-dup_S67_9.6.19_dupACTR029_30,ACTR032.dup_S165_9.6.19_dupACTR033,ACTR033_S141_9.6.19_dupACTR032,ACTR033.dup_S142_9.6.19_dupACTR032,ACTR034_S59_9.6.19_dupACTR035_36,ACTR034.dup_S60_9.6.19_dupACTR035_36,ACTR035_S190_8.19_dupACTR034_36,ACTR035.dup_S191_8.19_dupACTR034_36,ACTR036-dup_S157_9.6.19_dupACTR034_35,ACTR037_S103_9.6.19_dupACTR038_39,ACTR038_S85_9.6.19_dupACTR037_39,ACTR039_S158_9.6.19_dupACTR037_38,ACTR040_S213_8.19_dupACTR041_42,ACTR041_S91_9.6.19_dupACTR040_42,ACTR043_S126_9.6.19_dupACTR44,ACTR044_S107_9.6.19_dupACTR43,ACTR045_S71_9.6.19_dupACTR046_47,ACTR046_S40_9.6.19_dupACTR045_47,ACTR047_S42_9.6.19_dupACTR045_46,ACTR048_S90_9.6.19_dupACTR049,ACTR049_S69_9.6.19_dupACTR048,ACTR050_S50_9.6.19_dupACTR051_52,ACTR051_S62_9.6.19_dupACTR050_52,ACTR052_S131_9.6.19_dupACTR050_51,ACTR053_S192_8.19_dupACTR054_55,ACTR054_S161_9.6.19_dupACTR053_55,ACTR055_S209_8.19_dupACTR053_54,ACTR056_S183_8.19_dupACTR057_58,ACTR057_S113_9.6.19_dupACTR056_58,ACTR058_S187_8.19_dupACTR056_57,ACTR059_S184_8.19_dupACTR060_61,ACTR060_S134_9.6.19_dupACTR059_61,ACTR061_S41_9.6.19_dupACTR059_60,ACTR062_S48_9.6.19,ACTR063_S49_9.6.19,ACTR064_S195_8.19,ACTR065_S207_8.19,ACTR066_S101_9.6.19,ACTR067_S23_9.6.19,ACTR068_S61_9.6.19,ACTR069_S102_9.6.19,ACTR070_S35_9.6.19,ACTR071_S121_9.6.19,ACTR072_S37_9.6.19,ACTR081_9.6.19,ACTR081-dup_S136_9.6.19,ACTR081-dup_S179_8.19,ACTR074_S182_8.19,ACTR082_9.6.19,ACTR082-2_S106_9.6.19,ACTR083_8.19,ACTR083-2_S208_8.19,ACTR083A_S185_9.6.19,ACTR083B_S163_9.6.19,ACTR084_S10_9.6.19,ACTR084_8.19,ACTR084-dup_S11_9.6.19,ACTR084-dup_S172_8.19,ACTR076_S92_9.6.19,ACTR085_9.6.19,ACTR086_9.6.19,ACTR087_9.6.19,ACLE002C_9.6.19,ACTR096_9.6.19,ACTR097_9.6.19,ACTR099_9.6.19,ACTR103_8.19,NALI005A_9.6.19,ACTR085-2_S139_9.6.19,NALI005B_9.6.19,ACTR086-dup_S174_8.19,ACTR086-dup_S77_9.6.19,ACNI002_9.6.19,ACTR087-2_S63_9.6.19,ACTR087B_S166_8.19,ACTR087B_S172_9.6.19,ACTR090_S189_9.6.19,ACTR595_9.6.19,ACTR596_9.6.19,ACTR597_9.6.19,ACTR098_S5_9.6.19,ACTR101_S31_9.6.19,ACTR102_S17_9.6.19,ACTR105A_S168_9.6.19,ACTR106_S170_9.6.19,ACTR107_S165_8.19,ACTR110_S162_9.6.19,CTST019_9.6.19,NALI006A_9.6.19,NALI006B_9.6.19,NALI006C_9.6.19,ACLE010A_9.6.19,ACTR139_S57_9.6.19,ACTR140_S130_9.6.19,ACTR141_S170_8.19,ACTR142_S204_8.19,ACTR143_S185_8.19,ACTR144_S202_8.19,ACTR145_S199_8.19,ACTR146_S182_9.6.19,ACLE003C_9.6.19,ACTR135_9.6.19,ACTR136_9.6.19,ACTR137_9.6.19,ACTR138_9.6.19,ACNF120_9.6.19,ACNF121_9.6.19,ACNF122_9.6.19,ACNF123_9.6.19,ACNF123_9.6.19,ACTR600_S236_8.19,ACTR601_S233_8.19,ACTR602_S202_9.6.19,ACTR605_S235_8.19,ACTR606_S21_9.6.19,ACTR607_S224_8.19,ACTR608_S231_8.19,ACTR610_S203_9.6.19,ACTR611_S52_9.6.19,ACTR612_S55_9.6.19,ACTR132_9.6.19,CTST020_S243_8.19,GU1B_11.17,GU2B_11.17,GU2C_11.17,LE10B_11.17,LE10C_15ul_11.17,LE1A_11.17,LE1B_15ul_11.17,LE3A_11.17,LE7A_11.17,LE7B_11.17,LE7C_11.17,NALI002A_S132_9.6.19,NALI002B_S45_9.6.19,ACTR091_9.6.19,ACTR092_9.6.19,ACTR094_9.6.19,ACTR095_9.6.19,NALI003B_9.6.19,NALI004A_9.6.19,ACTR073_9.6.19,ACTR074_9.6.19,ACTR074_9.6.19,ACTR075_9.6.19,ACTR075_9.6.19,NALI1A_11.17,NALI1B_11.17,NAUN1B_15ul_11.17,NAUN1C_11.17,NAUN1D_11.17,NAUN1E_11.17,NF40_11.17,NF69_11.17,NF70_11.17,NF71_11.17,NF72_11.17,NF73_11.17,NF74_11.17,NF75_11.17,NF76_11.17,NF77_11.17,NF78_11.17,NF79_11.17,NF80_11.17,NF91_15ul_11.17,NF92_15ul_11.17,NF93_11.17,NF94_15ul_11.17,NF95_15ul_11.17,NF96_15ul_11.17,NF97_15ul_11.17,ST10_11.17,ST12_11.17,ST13_11.17,ST14_11.17,ST15_11.17,ST16_11.17,ST17_11.17,TR116_11.17,TR117_11.17,TR118_11.17,TR119_11.17,TR120_11.17,TR121_11.17,TR122_11.17,TR123_11.17,TR124_11.17,TR125_11.17,TR127_11.17,TR128_11.17,TR129_11.17,TR130_11.17,TR131_11.17,TR133A_11.17,TR42_15ul_11.17_dupACTR040_41,TR84_25cyc_11.17,TR84_35cyc_11.17,TR85_15ul_11.17,TR85_25cyc_11.17,TR85_35cyc_11.17,TR86_15ul_11.17,TR86_25cyc_11.17,TR86_35cyc_11.17,ZE10_11.17,ZE11_11.17,ZE12_11.17,ZE13_11.17,ZE14_11.17,ZE15_11.17,ZE16_11.17,ZE17_15ul_11.17,ZE17_5ul_11.17,ZE18_11.17,ZE19_15ul_11.17,ZE19_5ul_11.17,ZE20_11.17,ZE21_15ul_11.17,ZE21_5ul_11.17,ZE22_15ul_11.17_dupZEFL023,ZE23_11.17_dupZEFL022,ZE26_11.17,ZE27_11.17,ZE3_11.17,ZE5_11.17,ZE6_11.17,ZE7_11.17,ZE8_11.17,ZE9_11.17,ACTR079_9.6.19,ACNF124_9.6.19,ACLE015_9.6.19,ACLE016_8.19,ACLE016_9.6.19
Bangiaceae,family,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangiaceae,Bangiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,69,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Asparagopsis taxiformis,species,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis taxiformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,106,13,0,34,0,1274,225,85,78,343,0,9,0,61,76,506,487,2949,8524,284,205,41,101,73,414,534,146,90,99,54,130,200,513,76,173,28,301,188,55,102,94,0,182,280,1098,0,0,0,0,0,703,295,15,118,420,17,90,334,501,310,0,59,82,0,0,0,0,347,1032,433,1153,38,138,129,441,185,162,0,1001,1147,328,17,0,25,113,334,223,74,55,82,615,0,173,20,66,44,158,714,599,167,333,443,0,281,38,863,263,77,69,72,0,55,0,112,96,121,0,156,160,0,0,99,69,293,244,101,61,129,47,132,76,610,163,149,48,124,136,441,691,608,688,360,225,95,348,61,203,17,0,67,8,624,276,133,447,1965,291,1335,132,0,96,0,73,66,102,171,27,22,37,105,0,0,0,37,35,0,0,8,0,60,0,176,131,70,98,0,22,0,152,30,29,0,0,0,368,64,140,0,15,17,0,0,0,23,94,490,151,3,427,117,55,24,22,17,0,131,172,42,183,53,650,397,329,0,0,0,0,0,0,0,0,48,0,8,74,0,210,0,0,1491,4882,0,803,96,0,0,0,0,12,60,0,137,7,67,92,516,0,189,0,0,233,319,0,0,0,47,796,0,0,87,0,97,84,128,46,2,176,0,0,540,515,0,62,77,0,403,0,0,0,0,5,16,2,876,20,191,503,463,1028,140,126,45,216,1079,385,8,301,468,75,454,11,39,80,79,167,29,33,66,0,0,0,120,0,0,81,36,0,0,0,0,84,0,0,0,20,901,222,0,0,27,130,0,0,541,363,0,27,0
Acrothamnion butlerae,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Acrothamnion,Acrothamnion butlerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,385,41,279,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anotrichium sp.,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Anotrichium,Anotrichium sp. ARS-2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anotrichium tenue,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Anotrichium,Anotrichium tenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
Antithamnion antillanum,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnion,Antithamnion antillanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0
Antithamnion erucacladellum,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnion,Antithamnion erucacladellum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramium dumosertum,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Ceramium dumosertum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,13,59,37,0,8,0,60,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,106,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,35,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,924,81,0,0,0,0,0,0,0,0,0,0,7,0,0,27,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,245,0,0,0,0,0,0,0,0,0,0,0
Ceramium sp. ,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Ceramium sp. ARS-2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,193,51,0,0,20,0,102,0,0,0,0,0,25,31,126,0,0,50,0,0,0,0,241,103,153,0,6,793,705,1902,568,302,1192,0,0,372,322,599,287,49,0,0,12,12,171,1082,0,0,0,0,0,14,0,28,248,1019,0,0,746,504,29,241,0,0,0,0,0,0,629,1384,0,0,5,54,390,1125,0,0,0,0,0,0,0,0,101,132,0,0,5,0,0,0,0,59,342,35,31,0,155,0,0,0,0,0,337,165,79,733,894,37,169,0,1718,0,659,724,945,0,1154,330,0,0,1036,714,250,192,133,401,927,194,308,743,2008,912,793,1402,855,1047,1387,1451,1467,1562,1451,1136,831,1170,211,327,171,240,522,82,220,0,203,0,0,27,215,344,0,422,0,176,116,500,482,38,149,11,215,0,0,0,742,151,60,0,18,0,1722,0,0,903,0,205,0,0,0,10,0,219,0,0,0,35,243,468,1242,0,0,58,0,0,0,0,0,26,0,1050,0,397,742,389,136,0,341,78,34,1877,16,99,24,62,0,0,0,0,0,0,0,0,290,11,420,99,0,0,0,2,0,0,772,122,193,0,22,0,0,0,99,371,252,82,0,0,0,0,0,0,0,586,430,129,7638,651,619,1101,61,0,992,0,65,143,0,0,0,0,0,8,0,0,0,3,0,0,2,0,54,0,346,65,0,0,43,331,104,534,4807,104,496,339,1309,622,193,1688,463,980,493,1489,208,143,3819,852,537,1798,149,208,353,1,0,2150,0,204,31,84,34,0,0,71,0,265,231,0,0,15,166,608,2354,234,0,611,202,1806,680,107,606,318,0
Ceramium sp.,genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium sp.,Ceramium sp.,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,72,0,663,1598,76,0,1422,0,276,56,1194,1491,1288,318,2368,3193,2839,1001,849,108,225,140,160,71,782,678,394,1470,916,907,524,1248,549,483,1218,1948,814,17,696,878,1206,246,368,195,984,252,413,309,235,0,156,0,0,627,140,498,1380,1727,483,372,798,264,167,8963,236,28,0,679,385,0,17,187,155,362,124,442,42,147,137,138,0,174,185,45,352,192,119,123,742,932,509,667,103,504,0,1404,151,789,481,307,250,129,270,151,66,317,51,1139,97,440,220,81,284,0,321,0,606,378,305,0,286,341,0,0,344,390,320,456,300,328,246,241,325,168,468,344,224,206,518,588,594,740,374,563,1307,1035,526,710,179,250,2551,514,5511,412,900,1225,660,637,2301,1131,3156,3121,0,3228,0,906,715,638,660,97,256,195,1491,0,0,0,2710,3540,680,0,88,121,162,0,130,2765,183,5278,0,323,10,479,142,56,266,0,0,210,349,139,1169,163,364,59,177,894,88,53,185,1676,1089,605,8,5286,3299,713,277,12,1503,1640,434,30,372,381,260,473,0,0,0,1053,0,2746,0,0,109,465,1908,603,0,193,40,101,776,397,4,3121,2113,0,0,0,153,1522,255,99,87,61,118,4,1535,2,2573,0,0,212,38,0,0,0,25,1375,405,0,786,24,954,530,530,174,135,701,956,402,158,113,2,19,639,207,883,310,1146,535,388,1145,1001,8,2638,1347,1737,1495,6682,4380,3770,3290,3717,1903,2964,2913,1644,3058,3202,308,348,1034,2476,3571,1864,7039,4280,4387,10325,331,31,1277,95,1020,187,1292,263,0,0,505,0,1432,836,0,58,984,626,410,1342,6605,254,870,860,1275,569,222,1161,395,0
