taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species
Bangiaceae,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangiaceae,Bangiaceae
Asparagopsis taxiformis,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis taxiformis
Crouania sp. ,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Crouania,Crouania sp. ARS-2011
Euptilocladia magruderi,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Euptilocladia,Euptilocladia magruderi
Spyridia filamentosa,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Spyridia,Spyridia filamentosa
Spyridia sp.,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Spyridia sp.,Spyridia sp.
Acrothamnion butlerae,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Acrothamnion,Acrothamnion butlerae
Antithamnion antillanum,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnion,Antithamnion antillanum
Antithamnion erucacladellum,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnion,Antithamnion erucacladellum
Ceramiaceae,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramiaceae,Ceramiaceae
Ceramium dumosertum,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Ceramium dumosertum
Ceramium sp. ,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Ceramium sp. ARS-2011
Ceramium sp.,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium sp.,Ceramium sp.
Gayliella sp. ,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Gayliella,Gayliella sp. ARS-2011
Perikladosporon percurrens,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Perikladosporon,Perikladosporon percurrens
Ceramiales,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiales,Ceramiales,Ceramiales
