Sample,TechnicalReplicates,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty
1.29.2017.NEG,1.29.2017.NEG,1.29.2017.NEG,9.3.19,X1.29.17.NEG_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.29.2019.NEG,1.29.2019.NEG,1.29.2019.NEG,8.23.19,X1.29.19.NEG_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4.2017.NEG,1.4.2017.NEG,1.4.2017.NEG,9.3.19,X1.4.17.NEG_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4.2018.NEG.1,1.4.2018.NEG,1.4.2018.NEG,9.3.19,X1.4.2018.NEG_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4.2018.NEG.2,1.4.2018.NEG,1.4.2018.NEG,9.3.19,X1.4.2018.NEG_9.6.19.1,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5.2018.NEG.A.dup1,1.5.2018.NEG.A,1.5.2018.NEG.A,9.3.19,X1.5.18.NEG_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5.2018.NEG.A.dup2,1.5.2018.NEG.A,1.5.2018.NEG.A,9.3.19,X1.5.18.NEG.dup1_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5.2018.NEG.A.dup3,1.5.2018.NEG.A,1.5.2018.NEG.A,9.3.19,X1.5.18.NEG.dup2_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5.2018.NEG.B,1.5.2018.NEG.B,1.5.2018.NEG.B,8.23.19,X1.5.18.NEG.1_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5.2018.NEG.C,1.5.2018.NEG.C,1.5.2018.NEG.C,8.23.19,X1.5.18.NEG.2_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7.2018.NEG.A,1.7.2018.NEG.A,1.7.2018.NEG.A,8.23.19,X1.7.18.NEG_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7.2018.NEG.B,1.7.2018.NEG.B,1.7.2018.NEG.B,8.23.19,X1.7.18.NEG.2_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.2017.INDEX.NEG,11.2017.INDEX.NEG,11.2017.INDEX.NEG,11.17,NEG_11.17,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.30.2017.NEG,11.30.2017.NEG,11.30.2017.NEG,8.23.19,X11.30.17.NEG_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.5.2017.NEG,12.5.2017.NEG,12.5.2017.NEG,8.23.19,X12.5.17.NEG_8.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.16.2017.NEG,5.16.2017.NEG,5.16.2017.NEG,9.3.19,X5.16.17.NEG_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.2.2018.NEG,5.2.2018.NEG,5.2.2018.NEG,9.3.19,X5.2.18.NEG_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.7.2018.NEG,5.7.2018.NEG,5.7.2018.NEG,9.3.19,X5.7.18.NEG_9.6.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACGU001A,ACGU001A,ACGU001,9.3.19,ACGU001A_9.6.19,ACGU,S.ShoreViewpoint_MAUI,4/15/17,289.6,19.3,15.8,NA,25.5,1.03,9.32,F,1.06,Y
ACGU001B,ACGU001B,ACGU001,11.17,GU1B_11.17,ACGU,S.ShoreViewpoint_MAUI,4/15/17,289.6,19.3,15.8,NA,25.5,1.03,9.32,F,1.06,Y
ACGU002A.dup1,ACGU002A,ACGU002,9.3.19,ACGU002A_9.6.19,ACGU,S.ShoreViewpoint_MAUI,4/15/17,270.96,19,15,NA,26.36,NA,9.36,F,0.52,Y
ACGU002A.dup2,ACGU002A,ACGU002,9.3.19,ACGU002A_9.6.19.1,ACGU,S.ShoreViewpoint_MAUI,4/15/17,270.96,19,15,NA,26.36,NA,9.36,F,0.52,Y
ACGU002B,ACGU002B,ACGU002,11.17,GU2B_11.17,ACGU,S.ShoreViewpoint_MAUI,4/15/17,270.96,19,15,NA,26.36,NA,9.36,F,0.52,Y
ACGU002C,ACGU002C,ACGU002,11.17,GU2C_11.17,ACGU,S.ShoreViewpoint_MAUI,4/15/17,270.96,19,15,NA,26.36,NA,9.36,F,0.52,Y
ACLE001A,ACLE001A,ACLE001,11.17,LE1A_11.17,ACLE,HaleiwaFishBowl_OAH,8/12/16,205.3,19.5,15.6,18,21.97,2.41,NA,NA,0.08,~
ACLE001B,ACLE001B,ACLE001,11.17,LE1B_15ul_11.17,ACLE,HaleiwaFishBowl_OAH,8/12/16,205.3,19.5,15.6,18,21.97,2.41,NA,NA,0.08,~
ACLE002C,ACLE002C,ACLE002,9.3.19,ACLE002C_9.6.19,ACLE,Mokuleia_OAH,8/19/16,124.71,17,13,15.4,12.84,1.28,NA,NA,NA,N
ACLE003A,ACLE003A,ACLE003,11.17,LE3A_11.17,ACLE,HaleiwaFishBowl_OAH,8/12/16,208.3,20.5,18.2,15.2,28.89,4.25,NA,NA,0.25,Y
ACLE003B,ACLE003B,ACLE003,9.3.19,ACLE003C_9.6.19,ACLE,HaleiwaFishBowl_OAH,8/12/16,208.3,20.5,18.2,15.2,28.89,4.25,NA,NA,0.25,Y
ACLE010A,ACLE010A,ACLE010,9.3.19,ACLE010A_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,201.92,20.6,15.1,19.2,22.25,2.16,0.57,M?,0.54,N
ACLE011,ACLE011,ACLE011,9.3.19,ACLE011_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,257.93,22.1,16.2,20.4,27.23,3.58,0.22,M,0.23,N
ACLE012,ACLE012,ACLE012,9.3.19,ACLE012_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,186.89,20.4,15.2,18.9,22.38,2.23,NA,NA,0.39,N
ACLE013,ACLE013,ACLE013,9.3.19,ACLE013_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,231.13,21.2,15.5,19.6,29.22,2.93,0.38,M?,0.77,N
ACLE014,ACLE014,ACLE014,9.3.19,ACLE014_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,334.74,23.7,17.5,22.4,36.95,3.45,0.11,NA,0.38,N
ACLE015,ACLE015,ACLE015,9.3.19,ACLE015_9.6.19,ACLE,ChunsNShore_OAH,7/25/17,46.31,13,9.5,12,3.3,0.23 mushy,0.07,NA,0.15,N
ACLE016.dup1,ACLE016,ACLE016,8.23.19,ACLE016_8.19,ACLE,ChunsNShore_OAH,7/25/17,126.81,18,12.6,16.4,14.87,0.59,0.23,M,0.33,Y
ACLE016.dup2,ACLE016,ACLE016,9.3.19,ACLE016_9.6.19,ACLE,ChunsNShore_OAH,7/25/17,126.81,18,12.6,16.4,14.87,0.59,0.23,M,0.33,Y
ACLE017,ACLE017,ACLE017,8.23.19,ACLE017_8.19,ACLE,ChunsNShore_OAH,7/25/17,74.07,15,11,13.5,6.14,0.78,NA,NA,0.21,N
ACLE018A,ACLE018A,ACLE018,11.17,LE10B_11.17,ACLE,Laie_OAH,8/17/16,119.05,16.7,12.3,14.9,18.86,1.59,0.08,M,0.72,N
ACLE018B.15ul,ACLE018B.15ul,ACLE018,11.17,LE10C_15ul_11.17,ACLE,Laie_OAH,8/17/16,119.05,16.7,12.3,14.9,18.86,1.59,0.08,M,0.72,N
ACNF017,ACNF017,ACNF017,9.3.19,ACNF017_9.6.19,ACNF,Mokuleia_OAH,8/19/16,46.77,14.1,9.8,12,4.19,0.71,NA,NA,0.22,N
ACNF018A,ACNF018A,ACNF018,9.3.19,ACNF018_9.6.19_dupACNF019_20,ACNF,Mokuleia_OAH,8/19/16,95.45,18.1,12.5,15.5,15.36,0.7,2.04,M,0.61,N
ACNF018B,ACNF018B,ACNF018,9.3.19,ACNF019_9.6.19_dupACNF018_20,ACNF,Mokuleia_OAH,8/19/16,95.45,18.1,12.5,15.5,15.36,0.7,2.04,M,0.61,N
ACNF018C,ACNF018C,ACNF018,9.3.19,ACNF020_9.6.19_dupACNF018_19,ACNF,Mokuleia_OAH,8/19/16,95.45,18.1,12.5,15.5,15.36,0.7,2.04,M,0.61,N
ACNF021,ACNF021,ACNF021,9.3.19,ACNF021_9.6.19,ACNF,Mokuleia_OAH,8/19/16,69.66,16.8,12,14.4,9.02,0.75,2.06,F,0.16,N
ACNF023,ACNF023,ACNF023,9.3.19,ACNF023_9.6.19,ACNF,Mokuleia_OAH,8/19/16,73.86,16.2,11.6,14,8.3,1.3,2.64,F,0.44,N
ACNF024,ACNF024,ACNF024,9.3.19,ACNF024_9.6.19,ACNF,Kakaako_OAH,10/23/16,40.03,13.1,9.9,11.9,5.41,0.44,NA,NA,0.23,N
ACNF025,ACNF025,ACNF025,9.3.19,ACNF025_9.6.19,ACNF,Kakaako_OAH,10/23/16,56.71,15,11.2,12.9,7.31,0.51,0.22,M,0.16,N
ACNF026,ACNF026,ACNF026,8.23.19,ACNF026_8.19,ACNF,Kakaako_OAH,10/23/16,56.75,14.9,10.4,12.5,6.98,0.51,NA,NA,0.23,N
ACNF027A,ACNF027A,ACNF027,9.3.19,ACNF027_9.6.19_dupACNF028,ACNF,Kakaako_OAH,10/23/16,75.23,15.6,11.5,13.8,11.55,1.2,NA,NA,0.39,N
ACNF027B,ACNF027B,ACNF027,8.23.19,ACNF028_8.19_dupACNF027,ACNF,Kakaako_OAH,10/23/16,75.23,15.6,11.5,13.8,11.55,1.2,NA,NA,0.39,N
ACNF029A,ACNF029A,ACNF029,9.3.19,ACNF029_9.6.19_dupACNF030_31,ACNF,Laie_OAH,8/17/16,44.67,12,9.4,11.1,6.88,NA,NA,NA,0.6,N
