TechnicalReplicates,Sample,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty,Notes,adiv,simp
ACGU001B,ACGU001B,ACGU001,11.17,GU1B_11.17,ACGU,S.ShoreViewpoint_MAUI,4/15/17,289.6,19.3,15.8,NA,25.5,1.03,9.32,F,1.06,Y,"frozen (ACGU001A,B,C = subsamples from same fish)",33,0.835372718
ACGU002A,ACGU002A.dup1,ACGU002,9.3.19,ACGU002A_9.6.19,ACGU,S.ShoreViewpoint_MAUI,4/15/17,270.96,19,15,NA,26.36,NA,9.36,F,0.52,Y,"frozen (ACGU002A,B,C = subsamples from same fish)",41,0.855141124
ACLE001B,ACLE001B,ACLE001,11.17,LE1B_15ul_11.17,ACLE,HaleiwaFishBowl_OAH,8/12/16,205.3,19.5,15.6,18,21.97,2.41,NA,NA,0.08,~,"frozen, liver black, stomach not full so taking samples from ant. Intest.",46,0.858753621
ACLE002C,ACLE002C,ACLE002,9.3.19,ACLE002C_9.6.19,ACLE,Mokuleia_OAH,8/19/16,124.71,17,13,15.4,12.84,1.28,NA,NA,NA,N,frozen. Stomach empty so taking samples from anterior intestine (but hard to see what part of intest is what so taking from intestine really),14,0.651456391
ACLE003A,ACLE003A,ACLE003,11.17,LE3A_11.17,ACLE,HaleiwaFishBowl_OAH,8/12/16,208.3,20.5,18.2,15.2,28.89,4.25,NA,NA,0.25,Y,"frozen, used intestines for this samples",49,0.883183323
ACLE007A,ACLE007A,ACLE007,11.17,LE7A_11.17,ACLE,UNKNOWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.518579387
ACLE010A,ACLE010A,ACLE010,9.3.19,ACLE010A_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,201.92,20.6,15.1,19.2,22.25,2.16,0.57,M?,0.54,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",36,0.765652154
ACLE011,ACLE011,ACLE011,9.3.19,ACLE011_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,257.93,22.1,16.2,20.4,27.23,3.58,0.22,M,0.23,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",44,0.838575315
ACLE012,ACLE012,ACLE012,9.3.19,ACLE012_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,186.89,20.4,15.2,18.9,22.38,2.23,NA,NA,0.39,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",45,0.848463855
ACLE013,ACLE013,ACLE013,9.3.19,ACLE013_9.6.19,ACLE,WaipahuFishMarket_OAH,NA,231.13,21.2,15.5,19.6,29.22,2.93,0.38,M?,0.77,N,"purchased from Da Fish Market in Waipahu, fish kept in salt water brine",36,0.762136873
